['234', '242', '380', '313', '309', '63', '74', '262', '276', '36']
['248', '354', '491', '205', '158', '148', '362', '94', '215', '109']
['28', '178', '24', '370', '306', '372', '263', '486', '102', '53']
['13', '213', '90', '78', '291', '329', '266', '420', '241', '325']
['29', '81', '42', '459', '468', '172', '190', '278', '476', '312']
['352', '410', '431', '392', '378', '254', '416', '216', '17', '184']
['231', '331', '22', '87', '144', '365', '319', '182', '493', '335']
['273', '473', '113', '176', '430', '350', '183', '292', '417', '73']
['3', '400', '419', '222', '391', '349', '124', '10', '320', '403']
['84', '99', '465', '204', '324', '14', '285', '199', '371', '239']
['377', '436', '43', '57', '368', '497', '105', '346', '496', '409']
['270', '268', '139', '83', '389', '197', '245', '492', '46', '233']
['79', '220', '314', '442', '327', '156', '264', '34', '414', '469']
['217', '287', '428', '282', '236', '11', '478', '322', '200', '112']
['226', '163', '151', '482', '66', '25', '95', '308', '223', '457']
['219', '343', '162', '307', '395', '446', '47', '487', '399', '386']
['375', '132', '32', '21', '186', '121', '384', '383', '472', '110']
['289', '117', '59', '65', '198', '2', '61', '71', '56', '221']
['272', '433', '498', '467', '6', '175', '31', '337', '397', '345']
['369', '147', '461', '127', '425', '229', '474', '80', '462', '464']
['484', '460', '470', '107', '255', '153', '394', '52', '141', '5']
['328', '27', '62', '463', '283', '111', '294', '68', '133', '58']
['257', '247', '427', '449', '243', '269', '334', '130', '72', '145']
['311', '284', '152', '494', '67', '423', '210', '253', '360', '277']
['131', '342', '135', '126', '441', '488', '374', '45', '445', '376']
['259', '288', '40', '364', '356', '188', '479', '447', '191', '402']
['317', '347', '232', '76', '154', '225', '426', '18', '15', '37']
['189', '224', '429', '437', '321', '149', '101', '456', '298', '77']
['333', '481', '330', '318', '471', '173', '39', '30', '54', '168']
['211', '208', '86', '136', '348', '448', '359', '150', '434', '159']
['310', '301', '344', '300', '256', '366', '177', '160', '385', '146']
['396', '9', '166', '165', '35', '415', '439', '214', '432', '187']
['315', '96', '475', '7', '387', '413', '440', '195', '238', '271']
['228', '134', '1', '103', '116', '85', '438', '82', '143', '355']
['406', '363', '338', '240', '435', '381', '49', '16', '137', '411']
['167', '181', '174', '194', '382', '104', '128', '119', '252', '379']
['69', '97', '142', '261', '443', '489', '64', '19', '108', '495']
['161', '466', '138', '483', '274', '227', '115', '296', '23', '206']
['201', '303', '357', '340', '339', '480', '155', '100', '265', '237']
['193', '407', '129', '123', '0', '361', '48', '424', '455', '297']
['106', '250', '114', '118', '120', '203', '408', '304', '452', '93']
['281', '180', '164', '170', '418', '202', '33', '490', '485', '75']
['267', '38', '88', '244', '50', '55', '260', '326', '212', '209']
['60', '275', '422', '8', '316', '295', '477', '390', '89', '299']
['358', '286', '122', '398', '20', '401', '235', '4', '92', '421']
['140', '185', '171', '367', '251', '454', '91', '218', '246', '51']
['450', '125', '280', '412', '207', '341', '453', '458', '70', '353']
['179', '41', '444', '293', '499', '351', '336', '157', '388', '279']
['258', '404', '196', '323', '302', '393', '305', '290', '249', '26']
['192', '451', '169', '98', '44', '332', '405', '373', '230', '12']
